id,name,post_code,country,lat,lon
298,München,80636,Germany,48.1374,11.5755
299,München,80639,Germany,48.1374,11.5755
300,München,80638,Germany,48.1374,11.5755
301,München,80538,Germany,48.1374,11.5755
302,München,80539,Germany,48.1374,11.5755
303,München,81827,Germany,48.1374,11.5755
304,München,81825,Germany,48.1374,11.5755
305,München,81829,Germany,48.1374,11.5755
306,München,81925,Germany,48.1374,11.5755
307,München,81929,Germany,48.1374,11.5755
308,München,81927,Germany,48.1374,11.5755
309,München,80933,Germany,48.1374,11.5755
310,München,80935,Germany,48.1374,11.5755
311,München,80937,Germany,48.1374,11.5755
312,München,80939,Germany,48.1374,11.5755
313,München,80796,Germany,48.1374,11.5755
314,München,80798,Germany,48.1374,11.5755
315,München,80797,Germany,48.1374,11.5755
316,München,80799,Germany,48.1374,11.5755
317,München,80802,Germany,48.1374,11.5755
318,München,80801,Germany,48.1374,11.5755
319,München,80804,Germany,48.1374,11.5755
320,München,80803,Germany,48.1374,11.5755
321,München,80805,Germany,48.1374,11.5755
322,München,80807,Germany,48.1374,11.5755
323,München,80809,Germany,48.1374,11.5755
324,München,81543,Germany,48.1374,11.5755
325,München,81541,Germany,48.1374,11.5755
326,München,81547,Germany,48.1374,11.5755
327,München,81545,Germany,48.1374,11.5755
328,München,81549,Germany,48.1374,11.5755
329,München,81539,Germany,48.1374,11.5755
330,München,81477,Germany,48.1374,11.5755
331,München,81475,Germany,48.1374,11.5755
332,München,81476,Germany,48.1374,11.5755
333,München,81479,Germany,48.1374,11.5755
334,München,80469,Germany,48.1374,11.5755
335,München,81735,Germany,48.1374,11.5755
336,München,81739,Germany,48.1374,11.5755
337,München,81737,Germany,48.1374,11.5755
338,München,81671,Germany,48.1374,11.5755
339,München,81675,Germany,48.1374,11.5755
340,München,81673,Germany,48.1374,11.5755
341,München,81679,Germany,48.1374,11.5755
342,München,81677,Germany,48.1374,11.5755
343,München,80331,Germany,48.1374,11.5755
344,München,80333,Germany,48.1374,11.5755
345,München,80336,Germany,48.1374,11.5755
346,München,80335,Germany,48.1374,11.5755
347,München,81669,Germany,48.1374,11.5755
348,München,80337,Germany,48.1374,11.5755
349,München,81667,Germany,48.1374,11.5755
350,München,80339,Germany,48.1374,11.5755
351,München,80992,Germany,48.1374,11.5755
352,München,80993,Germany,48.1374,11.5755
353,München,80995,Germany,48.1374,11.5755
354,München,80997,Germany,48.1374,11.5755
355,München,80999,Germany,48.1374,11.5755
356,München,81369,Germany,48.1374,11.5755
357,München,81371,Germany,48.1374,11.5755
358,München,81373,Germany,48.1374,11.5755
359,München,81375,Germany,48.1374,11.5755
360,München,81377,Germany,48.1374,11.5755
361,München,81379,Germany,48.1374,11.5755
362,München,81241,Germany,48.1374,11.5755
363,München,81243,Germany,48.1374,11.5755
364,München,81245,Germany,48.1374,11.5755
365,München,81247,Germany,48.1374,11.5755
366,München,81249,Germany,48.1333,11.3667
367,Köln,50667,Germany,50.9333,6.95
368,Köln,51063,Germany,50.9333,6.95
369,Köln,51065,Germany,50.9333,6.95
370,Köln,51061,Germany,50.9333,6.95
371,Köln,01067,Germany,51.05,13.75
372,Köln,51069,Germany,50.9333,6.95
373,Köln,51143,Germany,50.9333,6.95
374,Köln,51149,Germany,50.9333,6.95
375,Köln,51145,Germany,50.9333,6.95
376,Köln,51147,Germany,50.9333,6.95
377,Köln,51109,Germany,50.9333,6.95
378,Köln,51105,Germany,50.9333,6.95
379,Köln,51107,Germany,50.9333,6.95
380,Köln,51103,Germany,50.9333,6.95
381,Köln,51467,Germany,50.9833,7.13333
382,Köln,50769,Germany,50.9333,6.95
383,Köln,50767,Germany,50.9333,6.95
384,Köln,50765,Germany,50.9333,6.95
385,Köln,50737,Germany,50.9333,6.95
386,Köln,50735,Germany,50.9333,6.95
387,Köln,50739,Germany,50.9333,6.95
388,Köln,50733,Germany,50.9333,6.95
389,Köln,50668,Germany,50.9333,6.95
390,Köln,50679,Germany,50.9333,6.95
391,Köln,50670,Germany,50.9333,6.95
392,Köln,50674,Germany,50.9333,6.95
393,Köln,50672,Germany,50.9333,6.95
394,Köln,50678,Germany,50.9333,6.95
395,Köln,50677,Germany,50.9333,6.95
396,Köln,50676,Germany,50.9333,6.95
397,Köln,50968,Germany,50.9333,6.95
398,Köln,50969,Germany,50.9333,6.95
399,Köln,50999,Germany,50.9333,6.95
400,Köln,50997,Germany,50.9333,6.95
401,Köln,50996,Germany,50.9333,6.95
402,Köln,50935,Germany,50.9333,6.95
403,Köln,50933,Germany,50.9333,6.95
404,Köln,50939,Germany,50.9333,6.95
405,Köln,50937,Germany,50.9333,6.95
406,Köln,50931,Germany,50.9333,6.95
407,Köln,50858,Germany,50.9333,6.95
408,Köln,50859,Germany,50.9333,6.95
409,Köln,50825,Germany,50.9333,6.95
410,Köln,50823,Germany,50.9333,6.95
411,Köln,50829,Germany,50.9333,6.95
412,Köln,50827,Germany,50.9333,6.95
413,Stuttgart,70173,Germany,48.7823,9.177
414,Stuttgart,70197,Germany,48.7823,9.177
415,Stuttgart,70195,Germany,48.7787,9.1288
416,Stuttgart,70193,Germany,48.7823,9.177
417,Stuttgart,70192,Germany,48.7823,9.177
418,Stuttgart,70191,Germany,48.7823,9.177
419,Stuttgart,70199,Germany,48.7823,9.177
420,Stuttgart,70190,Germany,48.7823,9.177
421,Stuttgart,70186,Germany,48.7823,9.177
422,Stuttgart,70184,Germany,48.7823,9.177
423,Stuttgart,70182,Germany,48.7823,9.177
424,Stuttgart,70180,Germany,48.7823,9.177
425,Stuttgart,70188,Germany,48.7823,9.177
426,Stuttgart,70176,Germany,48.7823,9.177
427,Stuttgart,70174,Germany,48.7823,9.177
428,Stuttgart,70178,Germany,48.7823,9.177
